src_ip,dst_ip,protocol,length,src_port,dst_port,timestamp
10.167.127.254,10.167.121.127,2048,56,0,0,1711807967.518994
10.167.124.250,224.0.0.251,17,103,5353,5353,1711807967.62188
10.167.121.0,224.0.0.251,17,103,5353,5353,1711807967.725926
10.167.127.254,10.167.120.74,2048,56,0,0,1711807967.726047
10.167.127.254,10.167.122.157,2048,56,0,0,1711807967.726056
10.167.121.170,10.167.127.254,2048,56,0,0,1711807967.827131
10.167.121.208,10.167.121.1,2048,42,0,0,1711807967.862412
10.167.121.208,192.168.10.2,17,92,52422,53,1711807967.906851
10.167.127.254,10.167.124.63,2048,56,0,0,1711807967.928608
10.167.121.208,192.168.10.2,17,92,52422,53,1711807967.938601
10.167.121.208,10.167.121.2,6,66,56453,31,1711807967.939501
10.167.121.208,10.167.121.2,6,66,56454,32,1711807967.9399
10.167.121.208,10.167.121.2,6,66,56455,33,1711807967.940088
10.167.121.208,10.167.121.2,6,66,56456,34,1711807967.940765
10.167.121.208,10.167.121.2,6,66,56457,35,1711807967.941359
10.167.121.208,10.167.121.2,6,66,56458,36,1711807967.941635
10.167.121.208,10.167.121.2,6,66,56459,37,1711807967.949664
10.167.121.208,10.167.121.2,6,66,56460,38,1711807967.950092
10.167.121.208,10.167.121.2,6,66,56461,39,1711807967.950266
10.167.121.208,10.167.121.2,6,66,56462,40,1711807967.950586
192.168.10.2,10.167.121.208,17,215,53,52422,1711807967.952382
10.167.121.208,13.89.179.10,6,66,56463,443,1711807967.953054
192.168.10.2,10.167.121.208,17,215,53,52422,1711807967.959779
10.167.121.208,10.167.121.2,6,66,56445,23,1711807967.964224
10.167.121.208,10.167.121.2,6,66,56448,26,1711807967.964224
10.167.121.208,10.167.121.2,6,66,56447,25,1711807967.964224
10.167.121.208,10.167.121.2,6,66,56443,21,1711807967.964228
10.167.121.208,10.167.121.2,6,66,56444,22,1711807967.964248
10.167.121.208,10.167.121.2,6,66,56446,24,1711807967.964249
10.167.121.208,10.167.121.2,6,66,56449,29,1711807967.966737
10.167.121.208,10.167.121.2,6,66,56452,28,1711807967.975382
10.167.121.208,10.167.121.2,6,66,56450,30,1711807967.975417
10.167.121.208,10.167.121.2,6,66,56451,27,1711807967.979301
10.167.127.254,10.167.124.25,2048,56,0,0,1711807968.03173
10.167.127.254,10.167.125.135,2048,56,0,0,1711807968.031829
10.167.121.2,10.167.121.208,6,60,32,56454,1711807968.048284
10.167.121.2,10.167.121.208,6,60,37,56459,1711807968.048284
10.167.121.2,10.167.121.208,6,60,31,56453,1711807968.048284
10.167.121.2,10.167.121.208,6,60,35,56457,1711807968.048284
10.167.121.2,10.167.121.208,6,60,36,56458,1711807968.048284
10.167.121.2,10.167.121.208,6,60,39,56461,1711807968.048284
10.167.121.2,10.167.121.208,6,60,34,56456,1711807968.048284
10.167.121.2,10.167.121.208,6,60,33,56455,1711807968.048284
10.167.121.2,10.167.121.208,6,60,40,56462,1711807968.048284
10.167.121.2,10.167.121.208,6,60,28,56452,1711807968.048284
10.167.121.2,10.167.121.208,6,60,27,56451,1711807968.048284
10.167.121.2,10.167.121.208,6,60,25,56447,1711807968.048284
10.167.121.2,10.167.121.208,6,60,38,56460,1711807968.048284
10.167.121.2,10.167.121.208,6,60,23,56445,1711807968.048284
10.167.121.2,10.167.121.208,6,60,21,56443,1711807968.048284
10.167.121.2,10.167.121.208,6,60,26,56448,1711807968.048284
10.167.121.2,10.167.121.208,6,60,29,56449,1711807968.048284
10.167.121.2,10.167.121.208,6,60,22,56444,1711807968.048284
10.167.121.2,10.167.121.208,6,60,24,56446,1711807968.048284
10.167.121.2,10.167.121.208,6,60,30,56450,1711807968.048284
10.167.121.208,192.168.10.2,17,92,50606,53,1711807968.113899
10.167.121.208,192.168.10.2,17,92,60839,53,1711807968.114627
10.167.121.208,20.189.173.10,6,171,56417,443,1711807968.114911
10.167.121.208,20.189.173.10,6,1494,56417,443,1711807968.114952
10.167.121.208,20.189.173.10,6,900,56417,443,1711807968.114952
192.168.10.2,10.167.121.208,17,92,53,60839,1711807968.121261
10.167.126.135,224.0.0.251,17,124,5353,5353,1711807968.133433
0.0.0.0,0.0.0.0,0,144,5353,5353,1711807968.133997
10.167.125.18,239.255.255.250,17,212,51871,1900,1711807968.134094
192.168.10.2,10.167.121.208,17,215,53,50606,1711807968.147379
13.89.179.10,10.167.121.208,6,66,443,56463,1711807968.182464
10.167.121.208,13.89.179.10,6,54,56463,443,1711807968.182569
10.167.121.208,13.89.179.10,6,571,56463,443,1711807968.18304
10.167.126.43,239.255.255.250,17,217,52182,1900,1711807968.23558
